"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"1","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Akademia Ateneum w Gdańsku","2023-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"2","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Akademia Ateneum w Gdańsku","2023-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"3","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum - Szkoła Wyższa w Gdańsku","2004-07-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"4","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum - Szkoła Wyższa w Gdańsku","2004-07-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"5","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum – Akademia Nauk Stosowanych","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"6","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum – Akademia Nauk Stosowanych","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"7","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Akademia Bialska im. Jana Pawła II","2023-06-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-08-01","Działająca","2000-08-01","zawodowa","2000-08-01","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
"8","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Akademia Bialska im. Jana Pawła II","2023-06-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-08-01","Działająca","2000-08-01","akademicka","2022-10-01","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
"9","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Akademia Bialska im. Jana Pawła II","2023-06-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-08-01","Działająca","2000-08-01","zawodowa","2023-06-13","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
"10","7b1ecf5e-1c1d-40d0-91a9-cbde801c4409","Akademia Bialska im. Jana Pawła II","2000-08-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","zawodowa","","030310705","5372131853","","328","","","http://www.akademiabialska.pl","kontakt@akademiabialska.pl","83 344 99 00","/pswbialapodlaska/SkrytkaESP","Polska","lubelskie","ul. Sidorska","95/97","21-500","Biała Podlaska","Jerzy Nitychoruk - Rektor","cac3b709-0477-4da3-a3ee-abda179aab8d",,,,,"Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej","2000-08-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-08-01","Działająca","2000-08-01","zawodowa","2000-08-01","ul. Sidorska 95/97, 21-500 Biała Podlaska, woj. lubelskie, Polska","2000-08-01"
